"config_id","exposed_events","unexposed_events","beta_sas","beta_logistf","se_sas","se_logistf","low_sas","high_sas","low_logistf","high_logistf","exact_beta","ordinary_se","augmented_se","different","ordinary_outside","augmented_outside"
"n50_13.12.2.23",13,2,2.31762196619973,2.31767073041209,0.787704362224755,0.772416510403518,0.773749785774118,3.86149414662535,0.803762188957084,3.83157927186709,2.31767073041209,0.787713371846621,0.772416510416133,FALSE,TRUE,TRUE
"n50_14.11.2.23",14,2,2.47246093908766,2.47251130333328,0.788922970896218,0.773611808629083,0.926200329554733,4.01872154862059,0.956260020405387,3.98876258626118,2.47251130333328,0.78893234164196,0.773611808641693,FALSE,TRUE,TRUE
"n50_15.10.2.23",15,2,2.63012490020026,2.63017445603768,0.79144482934522,0.776084670469909,1.07892153893318,4.18132826146734,1.10907645296302,4.15127245911234,2.63017445603768,0.791454175799271,0.77608467048365,FALSE,TRUE,TRUE
"n50_16.9.2.23",16,2,2.79273188935132,2.792778271576,0.795452725037922,0.780014365218638,1.23367319687275,4.35179058182989,1.2639782083236,4.3215783348284,2.792778271576,0.795461693854434,0.780014365246025,FALSE,TRUE,TRUE
"n50_17.8.2.23",17,2,2.96280330956901,2.96284440670916,0.801263720779425,0.785711847550262,1.39235527472278,4.53325134441524,1.42287748328422,4.5028113301341,2.96284440670916,0.801272008592574,0.785711847597927,FALSE,TRUE,TRUE
"n50_18.7.2.23",18,2,3.14354311384613,3.14357740081797,0.809398710493413,0.793687960627332,1.55715079214588,4.72993543554638,1.58797758302536,4.69917721861059,3.14357740081797,0.809406079809028,0.793687960647476,FALSE,TRUE,TRUE
"n50_19.6.2.23",19,2,3.33929471291045,3.33932197794407,0.820718146166198,0.80478655344015,1.73071670496622,4.94787272085468,1.76196931795925,4.91667463792888,3.33932197794407,0.820724468066031,0.80478655345226,FALSE,TRUE,TRUE
"n50_20.5.2.23",20,2,3.55636339222586,3.5563864831819,0.836701175319047,0.820458323799962,1.9164592227782,5.19626756167353,1.94831771771787,5.16445524864592,3.5563864831819,0.836706600641419,0.820458323812015,FALSE,TRUE,TRUE
"n50_21.4.2.23",21,2,3.80465687049258,3.8046852276333,0.860074994967697,0.843378349764864,2.11894085635243,5.49037288463274,2.15169403675334,5.45767641851326,3.8046852276333,0.860080533021939,0.84337835021926,FALSE,TRUE,TRUE
"n50_22.3.2.23",22,2,4.10141100290014,4.10146202999096,0.896440157054197,0.879040336583787,2.34442058077848,5.8584014250218,2.37857462932878,5.82434943065315,4.10146202999096,0.896448770713651,0.879040341308686,FALSE,TRUE,TRUE
"n50_23.2.2.23",23,2,4.48137528136875,4.48141937855192,0.959423913392534,0.940800925571069,2.6009389652129,6.36181159752459,2.63748344781067,6.32535530929316,4.48141937855192,0.95943245635004,0.940800926327522,FALSE,TRUE,TRUE
"n50_24.1.2.23",24,2,5.03389650961945,5.03391769871847,1.09362862812416,1.07239740053169,2.89042378603414,7.17736923320476,2.93205741656198,7.13577798087497,5.03391769871847,1.09363505433673,1.07239740054079,FALSE,TRUE,TRUE
