"config_id","exposed_events","unexposed_events","before_different","after_different","sas_wald_low","sas_wald_high","sas_pl_low","sas_pl_high","logistf_pl_low","logistf_pl_high","before_delta","after_delta"
"n50_4.21.1.24",4,1,FALSE,FALSE,-0.745541618797408,3.20444962824275,-0.556334488446451,3.58587796463749,-0.556302734769239,3.58586727565702,0.381417647414277,3.17536772118654e-05
"n50_5.20.1.24",5,1,FALSE,FALSE,-0.458385941255414,3.4134068900554,-0.241798380334785,3.81333927189313,-0.241776043152577,3.81333401915116,0.399927129095763,2.23371822089535e-05
"n50_6.19.1.24",6,1,TRUE,FALSE,-0.214863010124565,3.60399043111557,0.0195258813529988,4.01619903903887,0.0195424693731299,4.01619637505913,0.412205943943556,1.65880201311065e-05
"n50_7.18.1.24",7,1,TRUE,FALSE,-0.000470432444840574,3.78107595963176,0.246275923270045,4.201944116083,0.246288798388382,4.20194276585109,0.420866806219326,1.28751183375297e-05
"n50_8.17.1.24",8,1,FALSE,FALSE,0.193618638017427,3.94846069917873,0.449315207807569,4.37556534266217,0.449325580177163,4.37556468230961,0.427103983130882,1.03723695938363e-05
"n50_9.16.1.24",9,1,FALSE,FALSE,0.373203811722267,4.10903819092418,0.635574274412478,4.54064363994754,0.63558289904357,4.54064334235969,0.431605151435508,8.62463109141398e-06
"n50_10.15.1.24",10,1,FALSE,FALSE,0.542365503770189,4.26513739721592,0.809808536979117,4.69992592272249,0.809815906444985,4.69992580573574,0.43478840851982,7.36946586743503e-06
"n50_11.14.1.24",11,1,FALSE,FALSE,0.704156206443715,4.41874722285265,0.975496715600517,4.85566235859972,0.975503164781023,4.85566231474001,0.43691509188736,6.44918050674015e-06
"n50_12.13.1.24",12,1,FALSE,FALSE,0.860998892706164,4.57167706998902,1.13534388399139,5.00982509349622,1.13534964950548,5.00982505560877,0.438147985619755,5.76551409303683e-06
"n50_13.12.1.24",13,1,FALSE,FALSE,1.01493704277647,4.72568708746843,1.29158846443087,5.16426868548065,1.29159371974097,5.16426860950018,0.438581522031753,5.25531010464597e-06
"n50_14.11.1.24",14,1,FALSE,FALSE,1.16780714217649,4.88260998271402,1.44620849278021,5.32086763248139,1.4462133696792,5.32086748910942,0.4382575063954,4.87689898975852e-06
"n50_15.10.1.24",15,1,FALSE,FALSE,1.32137294456855,5.04448561643203,1.60107829364567,5.48165755451095,1.60108289583558,5.48165732614726,0.437171709715225,4.60218991071848e-06
"n50_16.9.1.24",16,1,FALSE,FALSE,1.47744682994961,5.21373366699935,1.75810796344519,5.64900789938252,1.7581123752796,5.6490075809573,0.435273913957952,4.41183441779458e-06
"n50_17.8.1.24",17,1,FALSE,FALSE,1.63789730195685,5.39275853170831,1.91939255167578,5.82586620321139,1.91939678271204,5.82586588612572,0.433107354417408,4.2310362600162e-06
"n50_18.7.1.24",18,1,FALSE,FALSE,1.80527346705348,5.58684423395264,2.08740195637946,6.01614592078768,2.08740611366064,6.0161455848035,0.429301350850856,4.15728118019487e-06
